"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","3,468.08","3,460.10","3,487.00","3,460.10","51.00M","0.39%"
"Jun 19, 2019","3,454.70","3,454.52","3,457.37","3,444.12","38.99M","0.05%"
"Jun 18, 2019","3,452.89","3,381.50","3,458.91","3,366.87","51.50M","2.06%"
"Jun 17, 2019","3,383.21","3,382.45","3,393.89","3,375.80","24.96M","0.12%"
"Jun 14, 2019","3,379.19","3,388.78","3,388.78","3,363.07","27.21M","-0.33%"
"Jun 13, 2019","3,390.50","3,384.32","3,401.72","3,373.68","29.11M","0.11%"
"Jun 12, 2019","3,386.63","3,398.58","3,398.58","3,376.45","31.07M","-0.43%"
"Jun 11, 2019","3,401.10","3,386.73","3,418.18","3,386.73","32.62M","0.43%"
"Jun 10, 2019","3,386.45","3,381.52","3,391.37","3,379.67","20.07M","0.24%"
"Jun 07, 2019","3,378.38","3,341.33","3,391.05","3,341.33","32.97M","1.20%"
"Jun 06, 2019","3,338.41","3,341.29","3,370.80","3,326.90","42.80M","-0.05%"
"Jun 05, 2019","3,339.95","3,334.40","3,355.69","3,326.93","34.49M","0.19%"
"Jun 04, 2019","3,333.49","3,293.63","3,338.08","3,275.20","43.96M","1.01%"
"Jun 03, 2019","3,300.22","3,274.97","3,300.22","3,248.54","36.05M","0.60%"
"May 31, 2019","3,280.43","3,312.41","3,312.41","3,258.04","50.88M","-1.14%"
"May 30, 2019","3,318.15","3,301.51","3,323.72","3,301.51","27.51M","0.62%"
"May 29, 2019","3,297.81","3,337.38","3,337.38","3,288.52","39.71M","-1.52%"
"May 28, 2019","3,348.86","3,364.23","3,369.91","3,337.77","54.25M","-0.45%"
"May 27, 2019","3,364.04","3,350.60","3,380.85","3,350.60","20.19M","0.40%"
"May 24, 2019","3,350.70","3,330.99","3,365.58","3,330.99","36.32M","0.71%"
"May 23, 2019","3,327.20","3,378.48","3,378.48","3,323.70","46.79M","-1.76%"
"May 22, 2019","3,386.72","3,384.92","3,396.87","3,359.60","37.22M","0.01%"
"May 21, 2019","3,386.51","3,371.26","3,395.91","3,370.38","38.71M","0.50%"
"May 20, 2019","3,369.78","3,417.12","3,426.87","3,360.26","55.33M","-1.63%"
"May 17, 2019","3,425.64","3,433.69","3,436.45","3,402.56","50.90M","-0.38%"
"May 16, 2019","3,438.56","3,379.70","3,438.56","3,365.49","44.25M","1.56%"
"May 15, 2019","3,385.78","3,364.88","3,385.78","3,332.68","45.61M","0.64%"
"May 14, 2019","3,364.38","3,324.85","3,364.38","3,324.85","37.32M","1.31%"
"May 13, 2019","3,320.78","3,362.52","3,365.51","3,311.17","40.79M","-1.20%"
"May 10, 2019","3,361.05","3,353.68","3,386.22","3,349.84","37.07M","0.31%"
"May 09, 2019","3,350.71","3,401.99","3,401.99","3,346.45","43.42M","-1.95%"
"May 08, 2019","3,417.26","3,400.19","3,423.96","3,389.07","41.83M","0.47%"
"May 07, 2019","3,401.16","3,460.56","3,467.64","3,396.90","48.49M","-1.78%"
"May 06, 2019","3,462.95","3,487.54","3,487.54","3,423.33","33.94M","-1.13%"
"May 03, 2019","3,502.48","3,489.48","3,510.04","3,486.72","28.07M","0.39%"
"May 02, 2019","3,488.93","3,505.77","3,511.43","3,487.75","39.61M","-0.73%"
"May 01, 2019","3,514.62","3,514.62","3,514.62","3,514.62","40.55M","0.00%"
"Apr 30, 2019","3,514.62","3,499.71","3,514.62","3,488.10","40.55M","0.36%"
"Apr 29, 2019","3,501.94","3,494.47","3,508.76","3,481.08","33.29M","0.04%"
"Apr 26, 2019","3,500.41","3,492.06","3,503.46","3,484.13","31.92M","0.24%"
"Apr 25, 2019","3,491.92","3,495.41","3,496.40","3,476.28","36.71M","-0.31%"
"Apr 24, 2019","3,502.63","3,500.56","3,515.15","3,491.89","41.76M","-0.03%"
"Apr 23, 2019","3,503.85","3,494.40","3,506.68","3,487.17","33.09M","0.13%"
"Apr 18, 2019","3,499.23","3,477.67","3,506.82","3,464.64","47.45M","0.62%"
"Apr 17, 2019","3,477.73","3,466.89","3,486.76","3,459.81","41.37M","0.41%"
"Apr 16, 2019","3,463.36","3,450.75","3,465.98","3,450.75","37.20M","0.37%"
"Apr 15, 2019","3,450.46","3,448.91","3,456.54","3,443.56","33.92M","0.08%"
"Apr 12, 2019","3,447.83","3,432.16","3,454.77","3,425.84","47.00M","0.36%"
"Apr 11, 2019","3,435.34","3,430.73","3,442.25","3,412.15","38.02M","0.31%"
"Apr 10, 2019","3,424.65","3,418.36","3,435.32","3,418.36","30.19M","0.22%"
"Apr 09, 2019","3,417.22","3,437.07","3,450.69","3,416.67","30.88M","-0.61%"
"Apr 08, 2019","3,438.06","3,446.15","3,447.11","3,433.47","26.00M","-0.27%"
"Apr 05, 2019","3,447.47","3,445.05","3,453.02","3,437.92","32.06M","0.16%"
"Apr 04, 2019","3,441.93","3,434.34","3,449.44","3,425.19","34.17M","0.19%"
"Apr 03, 2019","3,435.56","3,399.93","3,435.90","3,399.93","37.85M","1.17%"
"Apr 02, 2019","3,395.70","3,386.18","3,402.77","3,382.84","29.74M","0.30%"
"Apr 01, 2019","3,385.38","3,353.67","3,390.98","3,353.67","39.34M","1.00%"
"Mar 29, 2019","3,351.71","3,326.45","3,354.30","3,326.45","37.03M","0.95%"
"Mar 28, 2019","3,320.29","3,321.34","3,337.56","3,315.91","32.24M","-0.05%"
"Mar 27, 2019","3,322.04","3,322.64","3,344.67","3,302.80","46.17M","0.08%"
"Mar 26, 2019","3,319.53","3,302.13","3,326.35","3,293.68","33.04M","0.58%"
"Mar 25, 2019","3,300.48","3,297.41","3,313.43","3,281.97","34.96M","-0.16%"
"Mar 22, 2019","3,305.73","3,371.68","3,377.93","3,301.60","59.83M","-1.83%"
"Mar 21, 2019","3,367.40","3,372.36","3,376.21","3,348.95","35.62M","-0.15%"
"Mar 20, 2019","3,372.38","3,404.10","3,406.12","3,372.38","34.00M","-1.07%"
"Mar 19, 2019","3,409.00","3,389.81","3,422.34","3,386.26","35.23M","0.62%"
"Mar 18, 2019","3,387.94","3,385.46","3,392.63","3,380.65","37.21M","0.05%"
"Mar 15, 2019","3,386.08","3,345.06","3,394.32","3,345.06","94.14M","1.32%"
"Mar 14, 2019","3,342.03","3,322.92","3,349.85","3,322.92","38.45M","0.56%"
"Mar 13, 2019","3,323.45","3,301.81","3,327.35","3,300.17","33.48M","0.59%"
"Mar 12, 2019","3,303.95","3,312.32","3,320.24","3,291.91","31.69M","-0.01%"
"Mar 11, 2019","3,304.44","3,290.76","3,306.64","3,284.68","30.33M","0.63%"
"Mar 08, 2019","3,283.60","3,299.85","3,299.85","3,273.68","46.67M","-0.76%"
"Mar 07, 2019","3,308.85","3,321.18","3,337.66","3,293.34","57.84M","-0.48%"
"Mar 06, 2019","3,324.67","3,322.96","3,340.67","3,317.98","37.04M","-0.08%"
"Mar 05, 2019","3,327.19","3,316.96","3,330.72","3,308.64","34.82M","0.30%"
"Mar 04, 2019","3,317.12","3,318.10","3,329.65","3,315.63","29.00M","0.15%"
